Questions,Answers
"After changing any information in an officer's pay bill, an error message ‘Basic amount does not match with pay fixation amount’  is displayed when clicking on the save button, what to do in this case?
","* Select Pay Fixation Detail Report from the Reports menu.
* National Identity Card (NID) Number: Type NID in this box and click on the view information button. Then check the basic salary of the officer from the report.

* Master Data-->Employee Management-->Employee Salary Information must be selected.
* Employee Type: GOB Officer must be selected.
* Type NID and click on the GO button.
* Emoluments and Allowances : See if there is any difference in the salary shown in the Detail Report of the Amount of Economic- 3111101- Basic pay (Officer) in this part.
* If a difference in basic salary is observed (if increment is not applied) then salary determination should be updated first.
* Then Economic- 3111101- Basic pay (Officer) Amount from Employee Information Entry (Single Step) and click on save button.
"
"What if an officer wants to reduce/increase his/her pay bill GPF contribution in July?
","* GPF Subscription Configuration must be selected from the Accounting Transaction-GPF menu.
* Pay Point: will be displayed automatically.
* National ID: Type NID and click on GO button.
* Employee Name, Current Office, GPF A/C No, Current Basic Pay, Subscription Amount, Commencement Date will be displayed automatically.
* Subscription Amount: Change the GPF subscription amount in this room and click on save button.
"
"What should be done if an officer does not want to deduct GPF contribution from his salary?
"," * GPF Subscription Configuration must be selected from the Accounting Transaction-GPF menu.
 * Pay Point: will be displayed automatically.
 * National ID: Type NID and click on the GO button.
 * Employee Name, Current Office, GPF A/C No, Current Basic Pay, Subscription Amount, Commencement Date will be displayed automatically.
 * Check the Active box and click on the Save button."
"What if someone does not want to pay GPF interest?
","* GPF Subscription Configuration must be selected from the Accounting Transaction-GPF menu. 
* Pay Point: will be displayed automatically.
* National ID: Type NID and click on the GO button.
* Employee Name, Current Office, GPF A/C No, Current Basic Pay, Subscription Amount, Commencement Date will be displayed automatically.
* Check the Exclude Interest box and click the Save button.
"
"An officer submitting the salary bill online saw that the name in Bengali is not displayed correctly in the salary bill report. What should be done in this case?
","By clicking on Master Data -> Employee Management ->Employee Basic Information ->Select Employee Type->NID->Go->NID Info Re-Fetch option through Accounting Office, Bangla Name will automatically be displayed with respect to NID,  English Name need to be type/edit .
"
"Master    Data-->Employee    Management-->Employee   Salary   Information - Whether to add BF, GI and stamp duty entry in deduction section during salary bill configuration of an officer?
","BF, GI and Stamp duty are automatically added to the salary bill of the officer, so there is no need to add BF, GI and Stamp duty in the new Employee Salary Information.
"
"What if an officer (of C C D F section employed in pension) does not want deduction from the pay bill?
","* Select BF/GI Exception from Master data→Employee Management menu.
* Pay Point: will be displayed automatically.
* National ID: Type NID and click on GO button.
* Employee Name, Designation, Office will be displayed automatically.
* Select Extension Period From and To by ticking the Employee On Extension box and click Save button.
"
"Accounting officer has given check information to another accounting office, what to do in this case?
","* Change Checkbook Pay Point must be selected from the Check menu of Accounting Transaction.
* Check Book No: Select the check book number in this cell.
* Check Series, Check No, Existing Pay Point will be displayed automatically.
* New Pay Point: Select the accounting office in this room and click the Save button."
"One token's check has been mistakenly entered in another token, in this case how to enter the correct check of the correct token?
","Check number can be corrected before sending Bank Advice to Bangladesh Bank. In this case, it should be remembered that the CGA office sends Bank Advice electronically to Bangladesh Bank every day between 12:00 noon and 2:30 p.m. Bank Advice can be amended in the following manner before dispatch:
* Select Edit Check Number from the Accounting Transaction-Cheque menu.
* Fiscal Year: Fiscal Year must be selected in this cell.
* Token No: Type Token No in this box and click on the GO button.
* Month, Token Date, DDO, Payee Name, Current Check Number, Check Issue Date will be displayed automatically.
* New Check Number: Select the series number of the check and type the check number in this cell.
* Click on Save button.
"
"What should I do to change the issue date of the check?
","Check date cannot be changed to date earlier than Current Date
* From the Accounting Transaction-Cheque menu, select Check Issue Date Edit.
* Fiscal Year: Fiscal Year must be selected in this cell.
* Token No: Type Token No in this box and click on the GO button.
* Month, Token Date, DDO, Payee Name, Current Check Number, Check Issue Date will be displayed automatically.
* Check Issue Date: Change the check date in this room and click Save button.
"
"If a check is canceled, can another check entry be made in that token?
","No new check entries can be made in that token. Because if the check is canceled, the bill will be deleted and the token will be returned at the same time.
"
"The check is returned from Bangladesh Bank because the advice of the check is not available, what should be done in this case?
","You have to contact the IT branch of the CGA office. Because Bank Advice is electronically sent to Bangladesh Bank every day at 12 noon and 2.30 pm from the CGA office.
"
"An officer said that he did not receive the SMS of the EFT of the salary bill, what to do in this case?
","* EFT-EFT SMS new menu to see if EFT SMS has been sent.
*From Master Data-->Employee Contact Information, check whether the official's mobile number is correct. In some cases it is seen that Mobile No :00 or 0171-2345698 wrong mobile number is entered. If there is a mistake, it should be corrected. You will receive regular SMS from next month.
"
"While entering the GPF final payment bill, after clicking on the generate button, the closing balance is displayed as zero. What to do in this case?
","Edit and approve GPF Opening Balance of 2018-19 financial year and forward the information to next year.
"
"How to edit DDO information?
","* Select DDO Information Entry (Single Step) from Master Data-DDO Management menu.
*Office Type: Office Type should be selected in this cell.
*Sub Office: Select Sub Office in this cell.
*If you click on the GO button, Bank account Name, Payee Name, Post Title, No of Staff, EFT Ceiling, Status and Edit button will automatically appear in the table below.
*Click on the Edit button.
*Information will be automatically displayed in Post, EFT Ceiling, No of Staff, Mobile, Bank Account Name, Bank Account Number, Bank Account Type, Bank, Bank Branch, Routing No cells.
If you change the required information and click on the Save button, the DDO information will be changed.
"
"An official who submitted the salary bill online said that the amount of money in his bill is wrong and therefore the bill has to be returned. In that case, how to return the bill?", Bill must be canceled from Unapproved Bill Cancellation.
"How to find employee tokens filed online?
","Select Approve Staff Bill from the Bill menu. Select Fiscal Year, Month of Accounting, DDO and click on the GO button. All the tokens for that month will be displayed below.
"
"The accounting month is not received while DDO sending the salary bill submitted online, what to do in this case?
","In this case, the Accounting Month should be opened at the appointed time through the accounting office.
* Month must be open from Master Data-Month-Open.
"
"What to do if the bill is approved and the bill needs to be returned?
","The bill must be returned through Approved Bill Cancellation from the Bill menu.
"
"How are the salaries of the employees working on the master role?
","Employees working on Master Roll are not paid, they are paid wages or remuneration, which will be through Contingency Bills.
"
"While submitting the salary bill, an officer found that both the principal and interest of his house construction loan were deducted but only the interest installments would be deducted. what to do in this case?
","Both principal and interest are not deducted from the salary bill at the same time. Only the interest installment will start after the actual deduction is over. In this case, the problem has arisen because the concerned officer has not correctly entered the Installment Start Year and Installment Start Month in the Loan Information of the Loans and Advance Sanction menu. Correct data entry will solve this problem.
"
"Why does the 1976 pay scale not enter online?
","No pay scale was given in 1976. Scale provided in 1973/1977/1985/1991/1997/2005/2009 and 2015. In 1973 only 4 grades were implemented from grade 7 to 10, there is no opportunity to keep any other grade system except those 4 grades.
"
"If there is no allocation of duty allowance in case of current duty, whether duty allowance entry can be given?
","Entries can be made, No allowance will be available in the bill without budget allocation on Online Duty Allowance Economic Code.
"
"What is to be done for payment of first month salary and fall salary of an officer?
","* An officer can receive salary by submitting a pay bill online from the date of self-registration in iBAS++. However, registration can take salary and allowances for the previous period manually by doing Pay Fixation or NID bypass.
*In case of PRL, in the Service Stage Management option, the order can be paid in pre-entry or pre-entry PRL.
"
"What is the method of name correction if the name is wrong in the master data even though the name is correct in NID ?
","The Bengali name of the NID can be corrected by clicking on the NID information Re-Fetch button of the concerned officer under the Basic Information option of Employee Management.
"
"If the officer needs to correct the bank/mobile  information, who will do it in what manner?
","In case of correction of bank information, correction can be done by going to the Bank Employee Management option and going to the Bank Information Sub option. To change the mobile number can be modified by going to the Employee Contact Information option .
"
"What is the procedure if the employee's designation is incorrect or needs to be changed?
","If the Employee's Designation is wrong or needs to be changed, the following steps should be followed-
Master Data→Employee Management→Employee Service information→Present OPST→Select last name from drop down list
"
"What to do if an employee needs to add/remove their Education Allowance?
",Education Allowance Eligibility If the child is more than 5 years and less than 23 years then maximum 2 children are eligible for Education Allowance. Employee Basic Information → Family particulars of spouse → particulars of children then Employee salary information → 3111306 selection code should be selected → add or remove can be done.
"When else is the attachment entry required in the Service Stage Management menu?
","An officer-employee working under the same ministry and the same department from one office to another office for a temporary period is called attachment. After the attachment is ordered, he has to enter the information related to the attachment in the Service Stage Menu."
"What should be done if the data is not found during the bill submission of an officer?
","An officer should contact the concerned account office if no data is found during Bill Submission.
"
"What needs to be done to GPF Vol. No/Page Entry/Interest Exclude or not want to GPF deduct  after 52 years?
"," GPF Vol. For No/Page Entry the following steps are to be followed-
* Accounting Transaction→GPF→GPF Information→Volume No and Page No can be entered.
* In case of GPF Interest Excluded, GPF Subscription Configuration→ Subscription Configuration→ NID→ Go → Save by ticking the Exclude Interest option on the GPF information screen will stop the Interest Service.
* If you don't want to deduct GPF after 52 years, check Active option in GPF Subscription Configuration → Subscription Configuration → NID → Go → GPF information screen, then deduction GPF will be stopped.
"
"What is the procedure for payment of salary arrears of an officer after retirement?
","The procedure for payment of salary arrears of an officer after retirement is as follows:
In Master Data→Employee Management→Employee Joining, the concerned officer has to establish a link with the concerned office. After that the salary allowance can be paid to the official by manual token system.
"
"Who has to do what to  change the first appointment, office, mobile number, surname in the pay-fixation module?
","In order to change the first appointment, office, mobile number, designation in the Pay-Fixation module, the concerned officer/employee should contact the respective account office and the account officer will correct the information in the following manner in the Verified Data correction option.
*You can change the information by going to Entry Approval→Verified Data Correction menu.
"
"Procedure for Loans and Advance Entry/correction?
","The required information can be corrected by going to Accounting Transaction → Loans and Advances → Loan and Advance sanction option.
"
"After an officer joins from one job to another job, how to pay his GPF including other dues?
","If an officer joins another job from one job, he has to pay all the money of his previous job with interest. Later, a new GPF account should be opened in another job (if there is no continuity of service. If there is continuity of service then Fund Transfer or Ledger Transfer should be done.
"
"Procedure for Interest Free Car Loan, Bill payment?
","Interest Free Car Loan, Bill payment, Process:
*After entering Accounting Transaction→Loan and Advance→Loan and Advance Sanction and saving, go to Token→Token Entry (others) and select all information.
*Loan and Advance bill Entry→ Bill types →Accounting transaction→ Loan to Govt. Employee (72151XX)→Payee type (Employee will give DDO/Employee NID)→Save Accounting Transaction→Loan and Advance→Loan and Advance Bill Entry→If Token No is given in Bill Details→Loan Selection type should be done after selection.
"
"House Building Loan, Bill entry Advance, Entry, Edit etc.","What to do in case of House Building Loan, Bill entry Advance, Entry, Edit add:
*After entering Accounting Transaction→Loan and Advance→Loan and Advance Sanction and saving, go to Token→Token Entry (others) and select all information.
*Loan and Advance bill Entry→ Bill types →Accounting transaction→ Loan to Govt. Employee (72151XX)→Payee type (Employee will give DDO/Employee NID)→Save Accounting Transaction→Loan and Advance→Loan and Advance Bill Entry→If Token No is given in Bill Details→Loan Selection type should be done after selection."
How is the entry of the token/Bill  of the authorization budget?,"Method of Token Entry of Authorization Budget:
*Accounting Transaction → Token → Token Entry (others) → Ministry selection/ DDO selection → Month selection (current month) → DDO Bill No → Bill Type → Payee Type → DDO /supplier/ Concern Officer → *NID (If Concern Officer only select NID Yes. If it is DDO then select DDO. If it is Supplier then select supplier's NID/TIN no/Mobile no/VAT registration number) then save with Net Amount.

Method of Bill Entry of Authorization Budget:
*Accounting Transaction→Bill→Bill Entry (others)→Ministry selection→DDO (the DDO given at the time of token issue)→office code→Fiscal Year→Accounting Month(current month)→Token No→Go Then Details *will be displayed in Bill Transaction→ On this screen Economic Code→Organization→Operation/General/Activity→Mode of Financing→Debit and Credit Amount Entry→Save.
"
"When and why is employee NID needed?
","NID is required at the time of entry of details of officer/employee in iBAS++ system for filing Online Pay Bill of an officer/employee.
"
"If no code is found  for the gas bill, which code will be entered?
","Gas Bill Codes:
1. 8172401- Titus Gas Bill
2. 8172402- Bakhrabad Gas Bill
3. 8172403- Jalalabad Gas Bill
4. 8172404- Karnaphuli Gas Bill
5. 8172405- Western Region Gas Bill

 Employee Salary Information → Next → Deduction → Gas code selection → In the drop down menu of Fund → (20000000) Public Account of the Republic → Amount → add → save If you do not get the code for the gas bill, you can select the code from the 5 codes mentioned and make an entry.
"
"What is the process of signing or releasing a user as a DDO? And how to do DDO user registration?
","As DDO of DDO module, DDO can give release and joining of an employee in Online Pay Bill Menu. In that case the following steps are to be followed –
*Budget Execution→Online Pay Bill→Release an Employee
*Budget Execution→Online Pay Bill→Employee joining
"
"What is the mode of payment of deceased officers in case a new DDO is appointed on the death of an officer?
","In case the DDO is appointed for the deceased, the salary and allowances due to the deceased (excluding pension and gratuity) can be paid from the bank account of the concerned DDO.
"
"Is there a need to change the ddo’s mobile number? If so, why and what to do?
","*There is a need to change the mobile number of DDO because OTP messages will be sent to DDO's mobile after online pay-bill submission.
*Since the salary bill of the officer cannot be submitted online without OTP, in case of transfer of DDO, another officer will replace him, but if he complies, his mobile number will be replaced.
*To Do: Change the mobile number of DDO by contacting iBAS++ support team.
"
